epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6994444727897644,9.999999747378752e-05,1.0804917812347412,0.7331481575965881,0.905514121055603
1,0.7234722375869751,9.999999747378752e-05,0.970503568649292,0.7448148131370544,0.8778289556503296
2,0.7275000214576721,9.999999747378752e-05,0.9444000720977783,0.7522222399711609,0.8441762328147888
3,0.7367592453956604,9.999999747378752e-05,0.9119660258293152,0.7579629421234131,0.8217514753341675
4,0.7394444346427917,9.999999747378752e-05,0.8906006813049316,0.7611111402511597,0.816251814365387
5,0.740231454372406,9.999999747378752e-05,0.8959711194038391,0.7611111402511597,0.7796362042427063
6,0.745972216129303,9.999999747378752e-05,0.8715469241142273,0.7624074220657349,0.8077713847160339
7,0.7502777576446533,9.999999747378752e-05,0.8526857495307922,0.7685185074806213,0.7851898670196533
8,0.7506018280982971,9.999999747378752e-05,0.8530882596969604,0.764629602432251,0.7822466492652893
9,0.7554629445075989,9.999999747378752e-05,0.8397973775863647,0.7753703594207764,0.7736316323280334
10,0.7545833587646484,9.999999747378752e-05,0.8320825099945068,0.7761111259460449,0.7606024742126465
11,0.7576388716697693,9.999999747378752e-05,0.8221580386161804,0.7718518376350403,0.7699260115623474
12,0.7591203451156616,9.999999747378752e-05,0.8228352665901184,0.7746296525001526,0.7649749517440796
13,0.7588425874710083,9.999999747378752e-05,0.8256559371948242,0.7757407426834106,0.7534644603729248
14,0.7616666555404663,9.999999747378752e-05,0.8001477718353271,0.7768518328666687,0.7468169927597046
15,0.7613425850868225,9.999999747378752e-05,0.8027303814888,0.7688888907432556,0.7692273259162903
16,0.762592613697052,9.999999747378752e-05,0.8023204207420349,0.7687036991119385,0.7663247585296631
17,0.7644444704055786,9.999999747378752e-05,0.7992788553237915,0.7740740776062012,0.7532387971878052
18,0.762592613697052,9.999999747378752e-05,0.7957389950752258,0.7803703546524048,0.7512655854225159
19,0.7684259414672852,4.999999873689376e-05,0.7842374444007874,0.7803703546524048,0.7360066771507263
20,0.7665740847587585,4.999999873689376e-05,0.7892531156539917,0.7822222113609314,0.7353178858757019
21,0.7685185074806213,4.999999873689376e-05,0.7725746631622314,0.7757407426834106,0.742636501789093
22,0.7705092430114746,4.999999873689376e-05,0.7761894464492798,0.7835184931755066,0.7275795340538025
23,0.7738425731658936,4.999999873689376e-05,0.7688153982162476,0.7781481742858887,0.7459626793861389
24,0.7701388597488403,4.999999873689376e-05,0.7665375471115112,0.7838888764381409,0.7281972765922546
25,0.7700926065444946,4.999999873689376e-05,0.7696263790130615,0.7894444465637207,0.7241590619087219
26,0.771574079990387,4.999999873689376e-05,0.7710079550743103,0.7801851630210876,0.7312277555465698
27,0.7719444632530212,4.999999873689376e-05,0.7663462162017822,0.7892592549324036,0.7184261679649353
28,0.7750462889671326,4.999999873689376e-05,0.7596245408058167,0.7829629778862,0.721371591091156
29,0.7714352011680603,4.999999873689376e-05,0.7628047466278076,0.7829629778862,0.7348825931549072
